"rank","player_name","team","position","headshot_href","IMPACT_100","SCORING_100","PLAY_100","REB_100","DISC_100","DEF_100","TOTAL_100"
176,"Dorian Finney-Smith","LAL","PF","https://a.espncdn.com/i/headshots/nba/players/full/2578185.png",66.3961362586881,71.850847458182,50.378433062687,72.8940794724476,72.8083433206133,56.6598002103118,62.9164488956944
177,"Trayce Jackson-Davis","GS","F","https://a.espncdn.com/i/headshots/nba/players/full/4431684.png",69.9518745847117,43.7759758562086,60.1867570111537,84.6893007109285,75.0206804366709,61.9449622470604,62.880956431621
178,"Marcus Smart","WSH","PG","https://a.espncdn.com/i/headshots/nba/players/full/2990992.png",59.8090026283104,43.5839232940593,69.3008541010767,59.5431681617171,62.434913487199,85.1547459618272,62.8096070117018
179,"Miles Bridges","CHA","SF","https://a.espncdn.com/i/headshots/nba/players/full/4066383.png",59.0790955095695,63.6604419610763,72.1631807381174,68.2986702106924,73.7978274338107,50.3229321818864,62.7741882540638
180,"Craig Porter Jr.","CLE","G","https://a.espncdn.com/i/headshots/nba/players/full/4701233.png",57.6489688945737,69.9710427701609,63.1148877263764,54.0629816098607,67.4326989308408,67.6696872671691,62.6275513244473
181,"Devin Vassell","SA","SG","https://a.espncdn.com/i/headshots/nba/players/full/4395630.png",50.9950257110592,65.2139966087932,62.914690894543,52.3229159775158,81.5984782103488,71.676246022456,62.5942909327248
182,"Jeremy Sochan","SA","F","https://a.espncdn.com/i/headshots/nba/players/full/4610139.png",62.3076781851519,68.2175688167267,59.5156622947712,75.6474454490308,52.9711960019735,62.0317506154242,62.5428579849459
183,"Jabari Walker","POR","F","https://a.espncdn.com/i/headshots/nba/players/full/4432446.png",64.7560291096281,69.2606557467457,47.5350557363474,77.4586641320534,57.0332894035953,68.8611569955863,62.3557920486639
184,"Immanuel Quickley","TOR","SG","https://a.espncdn.com/i/headshots/nba/players/full/4395724.png",68.4905030822625,55.4293304176497,81.2861724946541,52.2057090861195,80.1874278171453,45.6032451163716,62.1689251747734
185,"RJ Barrett","TOR","SG","https://a.espncdn.com/i/headshots/nba/players/full/4395625.png",61.5218286561188,66.9393662909182,82.4453683204324,62.376253071023,52.7410231641501,47.1944752684596,62.0944503625483
186,"Toumani Camara","POR","F","https://a.espncdn.com/i/headshots/nba/players/full/4431736.png",53.335577759828,69.3937979851876,58.4859251806315,62.6821439841106,54.9309240256922,76.8501947681543,62.0772370220773
187,"Jalen Green","HOU","SG","https://a.espncdn.com/i/headshots/nba/players/full/4437244.png",71.9582242440072,70.3772398769066,71.5187868323703,53.663459011387,58.3074246877923,49.2513959410053,61.8931536632599
188,"Cameron Payne","NY","PG","https://a.espncdn.com/i/headshots/nba/players/full/3064230.png",70.5122189350918,47.3267913438004,79.0265041215021,48.2259412185792,70.7672985063885,62.5144202374111,61.8180507514406
189,"Colby Jones","WSH","G","https://a.espncdn.com/i/headshots/nba/players/full/4433378.png",50.9733213873842,49.8420990353017,52.9009910300798,74.5670862883547,73.5704016806829,84.1429649997106,61.6522445450476
190,"Terance Mann","ATL","SG","https://a.espncdn.com/i/headshots/nba/players/full/3907823.png",53.0436367271273,69.0961526919392,57.7153343516753,74.9621262276041,73.9413186322721,57.1297107554463,61.2937216591998
191,"Jalen Suggs","ORL","SG","https://a.espncdn.com/i/headshots/nba/players/full/4432165.png",62.8420984517423,50.6534146052517,65.3917798471969,54.258262979064,44.4797942296157,87.2240958941855,61.2881318523849
192,"P.J. Washington","DAL","PF","https://a.espncdn.com/i/headshots/nba/players/full/4278078.png",64.0019668825093,60.912224253822,56.0948354584341,69.5771320591374,55.5045007634578,71.0754227113807,61.2749129452971
193,"Clint Capela","ATL","C","https://a.espncdn.com/i/headshots/nba/players/full/3102529.png",67.3098144972297,41.0054224336365,49.2830626009225,91.2384816419227,70.6929039379749,71.5198556345769,61.1190453110572
194,"Bradley Beal","PHX","SG","https://a.espncdn.com/i/headshots/nba/players/full/6580.png",52.7262922252891,76.821566350359,67.4442966204758,49.6481156728552,63.5573592833512,61.4423675211106,60.8082127728938
195,"Javonte Green","CLE","G","https://a.espncdn.com/i/headshots/nba/players/full/2596112.png",46.1425778468672,51.1921813618266,47.8847074256042,77.6524919889131,79.8773734094068,84.883114727447,60.513332272836
196,"Grayson Allen","PHX","SG","https://a.espncdn.com/i/headshots/nba/players/full/3135045.png",57.4495470571099,74.3597500833301,59.2697452656107,52.3251706557327,72.514545067085,60.1650944462409,60.512392820671
197,"Nicolas Batum","LAC","PF","https://a.espncdn.com/i/headshots/nba/players/full/3416.png",59.6490655677117,64.1254379184566,51.7365056025326,57.5887825603996,73.8246596239921,71.9364482042307,60.2640495412721
198,"Mason Plumlee","PHX","C","https://a.espncdn.com/i/headshots/nba/players/full/2488653.png",66.1144172479465,54.4281635427822,61.4380588816703,85.2210531081355,44.5583256590768,62.1016361764199,60.2005461054492
199,"Adem Bona","PHI","C","https://a.espncdn.com/i/headshots/nba/players/full/5105637.png",62.766639478684,73.6141154737372,44.7129472389494,77.8043398020772,33.2822093885412,85.8488188910552,60.1018491072862
200,"Davion Mitchell","MIA","PG","https://a.espncdn.com/i/headshots/nba/players/full/4278053.png",52.8669678755972,64.4645938741256,85.904959566175,52.6190314392957,44.9932083745456,58.3296067343198,60.07798437649
201,"Jordan Goodwin","LAL","G","https://a.espncdn.com/i/headshots/nba/players/full/4278402.png",56.5954364582468,48.1841225686511,51.6001347821143,66.9512818766875,66.3902258745293,86.0709597915153,59.9535342893271
202,"Moses Moody","GS","SG","https://a.espncdn.com/i/headshots/nba/players/full/4432171.png",63.802269085982,65.0599238726111,51.9657274886221,51.6946641697133,81.889210754053,64.8974281552997,59.9154948262679
203,"Nickeil Alexander-Walker","MIN","SG","https://a.espncdn.com/i/headshots/nba/players/full/4278039.png",68.2400582345293,67.1094516670389,68.1465206794739,52.8899143334085,66.5573741938657,50.0444254219325,59.8166335574964
204,"Tristan Vukcevic","WSH","PF","https://a.espncdn.com/i/headshots/nba/players/full/4997537.png",65.4350760045055,70.7357997696113,51.2376948090935,71.7426272815134,52.1546799845087,62.2544999105261,59.7746434653641
205,"Deandre Ayton","POR","C","https://a.espncdn.com/i/headshots/nba/players/full/4278129.png",63.3281809554562,58.1597564453128,49.4384211907613,84.7658365959532,65.4743136166414,60.3050240274775,59.6632863395349
206,"Buddy Hield","GS","SG","https://a.espncdn.com/i/headshots/nba/players/full/2990984.png",64.0037341743464,66.0130237676539,56.3695556910161,54.7237622855282,70.8200975794088,62.716819428056,59.6269212928356
207,"Jaime Jaquez Jr.","MIA","G","https://a.espncdn.com/i/headshots/nba/players/full/4432848.png",55.8338635354441,52.2357408516208,66.6354238038004,67.0216093629549,60.9710118292102,70.7593901330881,59.6220763737224
208,"Precious Achiuwa","NY","PF","https://a.espncdn.com/i/headshots/nba/players/full/4431679.png",58.6941099247168,47.4707424099885,48.155130557564,76.7184680330981,74.7209095920282,79.2209417067664,59.5735248133591
209,"Spencer Dinwiddie","DAL","PG","https://a.espncdn.com/i/headshots/nba/players/full/2580782.png",50.1290084010374,57.4875404530908,83.5687966928317,48.1988673397519,76.1278614531655,55.142548020036,59.5592236625574
210,"Royce O'Neale","PHX","PF","https://a.espncdn.com/i/headshots/nba/players/full/2583632.png",51.9228053272539,63.3082309731583,60.9876588074849,61.2570410450931,73.1194250250347,65.5856071315094,59.4211970977804
211,"Kentavious Caldwell-Pope","ORL","SG","https://a.espncdn.com/i/headshots/nba/players/full/2581018.png",52.6070610728041,69.3387177973696,54.5839887776033,46.1325965832547,81.4397009889706,71.9985341530886,59.4118015027359
212,"Ayo Dosunmu","CHI","SG","https://a.espncdn.com/i/headshots/nba/players/full/4397002.png",49.1730019384831,70.7489914826028,73.882927751347,50.8745169290558,71.4688046198518,55.5971697294777,59.3832964112829
213,"Neemias Queta","BOS","C","https://a.espncdn.com/i/headshots/nba/players/full/4397424.png",74.1133167274263,61.7557002680372,48.3015412153193,78.2304364554609,46.4414722681712,63.747872865295,58.9000355474721
214,"Jordan Poole","WSH","SG","https://a.espncdn.com/i/headshots/nba/players/full/4277956.png",45.2406587998285,76.8071822938988,79.7476504716878,49.0596884860691,37.7457597464293,70.6573629213939,58.7599703858004
215,"Cam Whitmore","HOU","F","https://a.espncdn.com/i/headshots/nba/players/full/5105592.png",65.3989587669333,55.0937988596278,49.4609725865678,61.466704616795,83.1317220489525,65.2223057315339,58.5679249078591
216,"Peyton Watson","DEN","F","https://a.espncdn.com/i/headshots/nba/players/full/4576087.png",54.4366117888256,60.2330796796569,51.6391367901804,54.6736188386953,74.8299652635073,77.4651731450513,58.5450588196258
217,"Keegan Murray","SAC","SF","https://a.espncdn.com/i/headshots/nba/players/full/4594327.png",58.9826157838383,67.8686890156359,50.3651882034344,64.1146901078029,83.7426492755251,54.2969572380155,58.3395099650185
218,"Jarace Walker","IND","F","https://a.espncdn.com/i/headshots/nba/players/full/5106060.png",50.8432156514709,67.738230434015,58.1488118511843,61.011016350435,47.2978469721817,77.5349244086364,58.2212867040083
219,"Dennis Schroder","DET","PG","https://a.espncdn.com/i/headshots/nba/players/full/3032979.png",55.5484862546878,53.0435329380767,88.6597102557781,51.2270913749297,53.9233652115925,52.3814371043944,58.2021567082915
220,"Keldon Johnson","SA","SF","https://a.espncdn.com/i/headshots/nba/players/full/4395723.png",55.9171003306742,70.317328594523,55.1896796309373,65.584718499336,80.4544234631535,50.5202454278041,58.182544088551
221,"Anfernee Simons","POR","SG","https://a.espncdn.com/i/headshots/nba/players/full/4351851.png",54.1563393206323,68.5701238485936,80.9683526879274,46.7481558097926,71.2181962975395,45.6936740682279,58.0666176113594
222,"Isaac Okoro","CLE","SF","https://a.espncdn.com/i/headshots/nba/players/full/4432822.png",65.2049326803004,67.5241353941629,51.26409338679,53.8907526972804,79.6147932727574,56.3071631196736,57.7668270436797
223,"Jonathan Kuminga","GS","PF","https://a.espncdn.com/i/headshots/nba/players/full/4433247.png",66.4455394825106,52.418066850252,57.4771272154216,62.89694197737,72.2769117112613,61.4813865951464,57.6593040616422
224,"Ochai Agbaji","TOR","G","https://a.espncdn.com/i/headshots/nba/players/full/4397018.png",48.3379843904685,76.878093214643,51.8118381387632,54.9960972766504,79.4863574118047,61.0133028471879,57.4908082340849
