"","rank","namePlayer","position_abbreviation","team_abbreviation","TOTAL_100"
"217",217,"Anfernee Simons","SG","BOS",58.9949907424088
"218",218,"Keldon Johnson","SF","SA",58.9728485565218
"219",219,"Jarace Walker","F","IND",58.8939179188715
"220",220,"Jonathan Kuminga","PF","GS",58.7156603344873
"221",221,"Steven Adams","C","HOU",58.6413078455403
"222",222,"Nick Richards","C","PHX",58.464243761787
"223",223,"Isaac Okoro","SF","CHI",58.2697277877309
"224",224,"Ochai Agbaji","G","TOR",57.8773284084105
"225",225,"Ben Simmons","PG","LAC",57.8097649435304
"226",226,"Gui Santos","F","GS",57.8095492055869
"227",227,"Haywood Highsmith","F","BKN",57.6668010874044
"228",228,"Julian Champagnie","F","SA",57.5017216832964
"229",229,"Trey Lyles","PF","SAC",57.4057927491551
"230",230,"Cole Anthony","PG","MIL",57.4001064264174
"231",231,"CJ McCollum","SG","WSH",57.3439158040678
"232",232,"DeAndre Jordan","C","DEN",57.3033518940681
"233",233,"Kyle Filipowski","F","UTAH",57.2691939781443
"234",234,"Brandon Boston","SG","NO",57.157594631585
"235",235,"Delon Wright","SG","NY",57.0544448669121
"236",236,"Dalano Banton","G","POR",56.8225153530314
"237",237,"Kelly Oubre Jr.","SG","PHI",56.6333028120517
"238",238,"Ajay Mitchell","G","OKC",56.5712683140489
"239",239,"Keaton Wallace","G","ATL",56.5078306699601
"240",240,"Collin Sexton","G","CHA",56.4814745243008
"241",241,"Anthony Black","G","ORL",56.3420834156032
"242",242,"Orlando Robinson","C","ORL",56.3250349069515
"243",243,"Stephon Castle","G","SA",56.1821809911137
"244",244,"Gary Trent Jr.","SG","MIL",56.1748536425776
"245",245,"Quinten Post","C","GS",56.1107676257327
"246",246,"Wendell Carter Jr.","C","ORL",56.0172408466307
"247",247,"Alec Burks","SG","MIA",56.0085492607922
"248",248,"Shaedon Sharpe","SG","POR",56.0083705095902
"249",249,"Scoot Henderson","G","POR",55.9766671285176
"250",250,"Kessler Edwards","F","DEN",55.7964789129123
"251",251,"Talen Horton-Tucker","SF","CHI",55.744170915444
"252",252,"Andre Drummond","C","PHI",55.381480204214
"253",253,"Cory Joseph","PG","ORL",55.0468739772062
"254",254,"Brandon Ingram","SF","TOR",54.8321987412682
"255",255,"Matas Buzelis","F","CHI",54.7354979389311
"256",256,"Herbert Jones","SF","NO",54.6808190500678
"257",257,"Jae'Sean Tate","SF","HOU",54.6434937336435
"258",258,"Jaden Ivey","PG","DET",54.4314444408137
"259",259,"Blake Wesley","G","POR",53.9269671179121
"260",260,"Jalen Pickett","G","DEN",53.8682475329039
"261",261,"Duncan Robinson","F","DET",53.7802471952122
"262",262,"Taurean Prince","PF","MIL",53.7077079347427
"263",263,"Jabari Smith Jr.","PF","HOU",53.6267047960499
"264",264,"Shake Milton","SG","LAL",53.3376329124708
"265",265,"Klay Thompson","SG","DAL",53.3021651041029
"266",266,"Daniel Theis","C","OKC",53.1589255231
"267",267,"Lauri Markkanen","PF","UTAH",53.1489461659789
"268",268,"Olivier-Maxence Prosper","F","MEM",53.0827863270652
"269",269,"Bennedict Mathurin","SG","IND",52.9224971707865
"270",270,"Georges Niang","SF","UTAH",52.9053075391154
"271",271,"Malcolm Brogdon","PG","WSH",52.8831264262796
"272",272,"Max Christie","G","DAL",52.5512366328134
"273",273,"Aaron Holiday","G","HOU",52.4340284292838
"274",274,"Julian Phillips","F","CHI",52.3012767880987
"275",275,"Kyle Lowry","PG","PHI",52.087847865064
"276",276,"Jeremiah Robinson-Earl","F","NO",52.0670125313849
"277",277,"Cam Thomas","SG","BKN",51.6039213068374
"278",278,"Jordan Clarkson","G","NY",51.587291106133
"279",279,"Dalton Knecht","G","LAL",51.5826500874025
"280",280,"Pat Connaughton","SG","CHA",51.5724283108702
"281",281,"Jonathan Mogbo","F","TOR",51.4584430989395
"282",282,"Jared McCain","G","PHI",51.3720303273789
"283",283,"Eric Gordon","SG","PHI",51.3690179599584
"284",284,"Zaccharie Risacher","PF","ATL",51.1438877281633
"285",285,"Jaylen Wells","F","MEM",51.0811060868063
"286",286,"Jamal Cain","F","ORL",51.0382861253374
"287",287,"Brandon Miller","F","CHA",50.9252318976313
"288",288,"Ben Sheppard","G","IND",50.7532529321133
"289",289,"Seth Curry","SG","CHA",50.6603197307659
"290",290,"Dillon Brooks","SF","PHX",50.1444106827033
"291",291,"Brice Sensabaugh","F","UTAH",50.13080119687
"292",292,"KJ Martin","F","UTAH",50.0293170472321
"293",293,"Bruce Brown","SF","DEN",49.9143852574021
"294",294,"Landry Shamet","PG","NY",49.9070799282078
"295",295,"Caleb Martin","SF","DAL",49.8719369101259
"296",296,"Jericho Sims","C","MIL",49.8554991812181
"297",297,"Pelle Larsson","G","MIA",49.745981531912
"298",298,"Ziaire Williams","F","BKN",49.4567652622523
"299",299,"Ronald Holland II","F","DET",49.2740901522152
"300",300,"Reed Sheppard","G","HOU",49.2359237791282
"301",301,"Amir Coffey","F","MIL",49.1766659162652
"302",302,"Justin Edwards","F","PHI",49.0338400674609
"303",303,"Jamal Shead","G","TOR",48.9871562843733
"304",304,"Ryan Dunn","F","PHX",48.9052121489135
"305",305,"Trendon Watford","PF","PHI",48.7366719735509
"306",306,"Alex Sarr","PF","WSH",48.7069862179578
"307",307,"AJ Green","G","MIL",48.6663738502849
"308",308,"Rob Dillingham","G","MIN",48.3747522715751
"309",309,"Cam Reddish","SF","LAL",48.1141885255931
"310",310,"Bismack Biyombo","C","SA",48.1012354707993
"311",311,"Garrison Mathews","SG","ATL",48.0767535463953
"312",312,"Caleb Houstan","G","ATL",47.8483926726319
"313",313,"Dalen Terry","F","CHI",47.826072257544
"314",314,"Tosan Evbuomwan","F","BKN",47.8077205127187
"315",315,"Lindy Waters III","F","SA",47.7795979972801
"316",316,"Keyonte George","G","UTAH",47.7581737797845
"317",317,"Antonio Reeves","G","CHA",47.5848488003693
"318",318,"Yves Missi","C","NO",47.5695076229456
"319",319,"Isaiah Collier","G","UTAH",47.5529834505742
"320",320,"Ja'Kobe Walter","G","TOR",47.3032048676374
"321",321,"Tim Hardaway Jr.","SF","DEN",47.2303058089956
"322",322,"Oso Ighodaro","C","PHX",46.8606273191656
"323",323,"Johnny Juzang","G","MIN",46.6822809756483
"324",324,"Micah Potter","C","SA",46.1583645815302
"325",325,"Elfrid Payton","G","NO",45.6626118110483
"326",326,"Bilal Coulibaly","SG","WSH",45.6351340792986
"327",327,"Corey Kispert","SF","WSH",45.2832052935847
"328",328,"Kris Murray","F","POR",45.2735454640262
"329",329,"Terry Rozier","SG","MIA",45.2262582346279
"330",330,"Gabe Vincent","PG","LAL",45.0623874930793
"331",331,"Ricky Council IV","G","PHI",44.9911170482311
"332",332,"Andre Jackson Jr.","G","MIL",44.8448482403675
"333",333,"Keon Johnson","G","BKN",44.6971388797975
"334",334,"Tyrese Martin","G","BKN",44.6852828667067
"335",335,"Simone Fontecchio","F","MIA",44.4823162557443
"336",336,"Patrick Williams","PF","CHI",44.3126937307677
"337",337,"Julian Strawther","G","DEN",44.2451531242262
"338",338,"Gary Harris","SG","MIL",44.1541815754286
"339",339,"Jerami Grant","SF","POR",43.9001026544918
"340",340,"Jamison Battle","F","TOR",43.8451312837696
"341",341,"Tristan da Silva","F","ORL",43.7554057948167
"342",342,"Gradey Dick","G","TOR",43.7144530520242
"343",343,"Kyshawn George","F","WSH",43.5141859335906
"344",344,"Svi Mykhailiuk","SG","UTAH",42.6822997524924
"345",345,"Jaden Hardy","G","DAL",41.8749011309568
"346",346,"Kyle Kuzma","SF","MIL",41.8748042836245
"347",347,"Josh Green","SG","CHA",41.7667277119828
"348",348,"Dillon Jones","G","WSH",41.1243193462704
"349",349,"Jalen Wilson","F","BKN",40.5459243709607
"350",350,"Bub Carrington","G","WSH",40.1398897210963
"351",351,"Jordan Hawkins","G","NO",39.9808657078817
"352",352,"KJ Simpson","G","CHA",39.7921209031302
"353",353,"DaQuan Jeffries","SG","CHA",39.3019035542577
"354",354,"Noah Clowney","F","BKN",37.7315971229235
"355",355,"Jett Howard","G","ORL",37.6336016049123
"356",356,"AJ Johnson","G","WSH",36.7894311436029
"357",357,"Nick Smith Jr.","G","CHA",36.3463817706238
"358",358,"Vasilije Micic","G","MIL",36.2060059942787
"359",359,"Maxi Kleber","PF","LAL",36.0255026361565
"360",360,"Cody Williams","F","UTAH",32.589241219615
